Description,Index
"L'Âme Enchantée II: L'Été, by Romain Rolland                             
 [Language: French]",60666
"Oeuvres complètes de Guy de Maupassant, by Guy de Maupassant             
 [Subtitle: Monsieur Parent]
 [Language: French]",60610
"La Comédie humaine, Volume XI, by Honoré de Balzac                       
 [Subtitle: Scènes de la vie parisienne, tome III]
 [Language: French]",60551
"Les naufragés du Jonathan, by Jules Verne                                
 [Illustrator: George Roux]
 [Language: French]",60450
"Ruy Blas, by Victor Hugo                                                 
 [Subtitle: Drame]
 [Language: French]",60354
"Lucien Leeuwen ou l'Amarante et le Noir, by Stendhal                     
 [Subtitle: Tome Second]
 [Illustrator: Maximilien Vox]
 [Language: French]",60033
"Lucien Leeuwen ou l'Amarante et le Noir, by Stendhal                     
 [Subtitle: Tome Premier]
 [Illustrator: Maximilien Vox]
 [Language: French]",60030
"Candide, by Voltaire                                                     
 [Subtitle: ou L'optimisme]
 [Language: French]",59859
"Evenor et Leucippe, by George Sand                                       
 [Subtitle: Les amours de l'Âge d'Or - Légende antidéluvienne]
 [Language: French]",58299
"La Comédie humaine - Volume 10, by Honoré de Balzac                      
 [Subtitle: Scènes de la vie parisienne - Tome 2]
 [Language: French]",58244
"Les trois mousquetaires, Vol. 2 of 2, by Alexandre Dumas                 
 [Illustrator: Maurice Leloir]
 [Language: French]",58211
"Le jardin des supplices, by Octave Mirbeau                               
 [Language: French]",57775
"OEuvres complètes de Guy de Maupassant, Volume 14                        
 [Language: French]",57567
"OEuvres complètes de Gustave Flaubert, tome 6, by Gustave Flaubert       
 [Language: French]",57525
"Ed. Manet, étude biographique et critique, by Émile Zola                 
 [Language: French]",57461
"Mémoires de Garibaldi, tome 2/2, by Alexandre Dumas                      
 [Language: French]",57454
"OEuvres complètes de Guy de Maupassant, Volume 13,                       
 [Language: French]",57430
"OEuvres complètes de Gustave Flaubert, tome 5, by Gustave Flaubert       
 [Language: French]",57373
"Machado de Assis Son Oevre Littéraire,                                   
 by M. de Oliveira Lima and Victor Orban
 [Subtitle: Avec une préface de Anatole France]
 [Language: French]",57360
"Mémoires de Garibaldi, tome 1/2, by Alexandre Dumas                      
 [Language: French]",57019
"La vérité en marche, by Émile Zola                                       
 [Subtitle: L'affaire Dreyfus]
 [Language: French]",56808
"Correspondance, by Émile Zola                                            
 [Subtitle: Les lettres et les arts]
 [Language: French]",56622
"OEuvres complètes de Guy de Maupassant, Volume 12                        
 [Language: French]",56523
"Lettres à une inconnue, Tome Deuxième, by Prosper Mérimée                
 [Subtitle: Précédée d'une étude sur P. Mérimée par H. Taine]
 [Language: French]",56474
"Lettres à une inconnue, Tome Premier, by Prosper Mérimée                 
 [Subtitle: Précédée d'une étude sur P. Mérimée par H. Taine]
 [Language: French]",56473
"Oeuvres complètes de Guy de Maupassant; Vol. 11                          
 [Language: French]",56374
"A rebours, by Joris-Karl Huysmans                                        
 [Illustrator: Auguste Leroux]
 [Language: French]",56149
"Les trois mousquetaires, Volume  1 of 2, by Alexandre Dumas              
 [Illustrator: Maurice Leloir]
 [Language: French]",56054
"Les grands navigateurs du XIIIe siècle, by Jules Verne                   
 [Illustrator: Paul Philippoteaux]
 [Language: French]",55869
"La Comédie humaine - Volume IX, by Honoré de Balzac                      
 [Subtitle: Scènes de la vie parisienne - Tome I]
 [Language: French]",55860
"Histoire du chien de Brisquet / The Story of Brisquet's Dog,             
 by Charles Nodier
 [Language: French]",55605
"Correspondance, by Émile Zola                                            
 [Subtitle: Lettres de jeunesse]
 [Language: French]",55517
"Oeuvres complètes de Guy de Maupassant, Volume 10                        
 [Language: French]",55167
"P'tit-bonhomme, by Jules Verne                                           
 [Illustrator: Léon Benett]
 [Language: French]",55135
"Vingt mille lieues sous les mers, by Jules Verne                         
 [Illustrators: Alphonse de Neuville and Edouard Riou]
 [Language: French]",54873
"La Comédie humaine - Volume VIII, by Honoré de Balzac                    
 [Subtitle: Scènes de la vie de Province - Tome IV]
 [Language: French]",54723
"La 628-E8, by Octave Mirbeau                                             
 [Subtitle: Avec le chapitre intégral Balzac""]
 [Language: French]",54528
"Vie de Henri Brulard, Tome 2 of 2, by Stendhal                           
 [Language: French]",53779
"Vie de Henri Brulard, tome 1 of 2, by Stendhal                           
 [Language: French]",53749
"Les voyageurs du XIXe siècle, by Jules Verne                             
 [Illustrator: Léon Benett]
 [Language: French]",53439
"Honoré de Balzac, by Théophile Gautier                                   
 [Language: French]",53399
"Oeuvres complètes de Guy de Maupassant, Volume 9, by Guy de Maupassant   
 [Language: French]",53247
"OEuvres complètes de Gustave Flaubert, tome 4, by Gustave Flaubert       
 [Language: French]",52893
