Author,Title,Year,Themes,Author_Cleaned,Description,Index
Guy de Maupassant                                     ,La vie errante,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"La vie errante, by Guy de Maupassant                                     
 [Language: French]",14793
Guy de Maupassant                       ,Contes du jour et de la nuit,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"Contes du jour et de la nuit, by Guy de Maupassant                       
 [Illustrator: Paul Cousturier]
 [Language: French]",14790
Guy de Maupassant                                    ,Monsieur Parent,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"Monsieur Parent, by Guy de Maupassant                                    
 [Subtitle: Et autres histoires courtes]
 [Language: French]",12011
Guy de Maupassant                               ,Contes de la Becasse,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"Contes de la Becasse, by Guy de Maupassant                               
 [Language: French]",11714
Guy de Maupassant                                          ,Mlle Fifi,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"Mlle Fifi, by Guy de Maupassant                                          
 [Subtitle: Nouveaux Contes]
 [Language: French]",11597
Guy de Maupassant                                  ,La Maison Tellier,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"La Maison Tellier, by Guy de Maupassant                                  
 [Language: French]",11596
Guy de Maupassant                                     ,La Main Gauche,1893,"Décadence, Pouvoir, Ambitions, Fiction historique, Société et politique, Coutumes, Passion",Guy de Maupassant,"La Main Gauche, by Guy de Maupassant                                     
 [Language: French]",11495
Jean de La Fontaine      ,Audio,1678,"Fables, Arts et Culture, Poésie, Aventures, Décadence",Jean de La Fontaine,"Audio: Fables de La Fontaine, livre second, by Jean de la Fontaine       
 [Language: French]",28732
Jean de La Fontaine               ,Fables de La Fontaine,1678,"Fables, Arts et Culture, Poésie, Aventures, Décadence",Jean de La Fontaine,"Fables de La Fontaine, Tome Second, by Jean de La Fontaine               
 [Language: French]",17942
Jules Verne                                ,Les naufragés du Jonathan,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Les naufragés du Jonathan, by Jules Verne                                
 [Illustrator: George Roux]
 [Language: French]",60450
Jules Verne                   ,Les grands navigateurs du XIIIe siècle,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Les grands navigateurs du XIIIe siècle, by Jules Verne                   
 [Illustrator: Paul Philippoteaux]
 [Language: French]",55869
Jules Verne                         ,Vingt mille lieues sous les mers,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Vingt mille lieues sous les mers, by Jules Verne                         
 [Illustrators: Alphonse de Neuville and Edouard Riou]
 [Language: French]",54873
Jules Verne                             ,Les voyageurs du XIXe siècle,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Les voyageurs du XIXe siècle, by Jules Verne                             
 [Illustrator: Léon Benett]
 [Language: French]",53439
Jules Verne                  ,Le Tour du monde en quatre-vingts jours,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Le Tour du monde en quatre-vingts jours, by Jules Verne                  
 [Illustrators: De Neuville and L. Benett]
 [Language: French]",46541
Jules Verne                                        ,Autour de la lune,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Autour de la lune, by Jules Verne                                        
 [Illustrators: Emile Bayard, A. de Neuville,
  and Hildibrand]
 [Language: French]",46111
Jules Verne                                        ,Mistress Branican,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Mistress Branican, by Jules Verne                                        
 [Language: French]",17914
Jules Verne                                      ,Une ville flottante,1872,"Décadence, Fiction historique, Aventures, Renaissance, Critique, Épouvante, Fantastique, Arts et Culture",Jules Verne,"Une ville flottante, by Jules Verne                                      
 [Language: French]",17832
Stendhal                                       ,La Duchesse de Palliano,1800,"Décadence, Critique, Roman, Coutumes",Stendhal,"La Duchesse de Palliano, by Stendhal                                       
 [Language: French]",803
Stendhal                   ,"Vittoria Accoramboni, Duchesse de Bracciano",1800,"Décadence, Critique, Roman, Coutumes",Stendhal,"Vittoria Accoramboni, Duchesse de Bracciano, by Stendhal                   
 [Language: French]",802
Stendhal                                                     ,Les Cenci,1800,"Décadence, Critique, Roman, Coutumes",Stendhal,"Les Cenci, by Stendhal                                                     
 [Language: French]",801
Stendhal                                           ,Le Rouge et le Noir,1800,"Décadence, Critique, Roman, Coutumes",Stendhal,"Le Rouge et le Noir, by Stendhal                                           
 [Subtitle: Chronique du 19th siècle]
 [Language: French]",798
Stendhal                                        ,La Chartreuse de Parme,1800,"Décadence, Critique, Roman, Coutumes",Stendhal,"La Chartreuse de Parme, by Stendhal                                        
 [Author a.k.a. Marie-Henri Beyle]
 [Language: French]",796
Théophile Gautier                                     ,Constantinople,1834,Décadence,Théophile Gautier,"Constantinople, by Théophile Gautier                                     
 [Language: French]",71059
Théophile Gautier,"Les Jeunes-France, romans goguenards, suivis de Contes humoristiques,",1834,Décadence,Théophile Gautier,"Les Jeunes-France, romans goguenards, suivis de Contes humoristiques,    
 by Théophile Gautier
 [Language: French]",63244
Théophile Gautier                              ,Le capitaine Fracasse,1834,Décadence,Théophile Gautier,"Le capitaine Fracasse, by Théophile Gautier                              
 [Illustrator: Gustave Doré]
 [Language: French]",60746
Théophile Gautier                                   ,Honoré de Balzac,1834,Décadence,Théophile Gautier,"Honoré de Balzac, by Théophile Gautier                                   
 [Language: French]",53399
Théophile Gautier                                        ,Victor Hugo,1834,Décadence,Théophile Gautier,"Victor Hugo, by Théophile Gautier                                        
 [Language: French]",51977
Théophile Gautier                                   ,Romans et contes,1834,Décadence,Théophile Gautier,"Romans et contes, by Théophile Gautier                                   
 [Language: French]",51632
Théophile Gautier                                    ,Émaux et camées,1834,Décadence,Théophile Gautier,"Émaux et camées, by Théophile Gautier                                    
 [Illustrator: Jules Jacquemart]
 [Language: French]",44160
Victor Hugo                                  ,Post-scriptum de ma vie,1800,"Décadence, Coutumes",Victor Hugo,"Post-scriptum de ma vie, by Victor Hugo                                  
 [Language: French]",63768
Victor Hugo                                                 ,Ruy Blas,1800,"Décadence, Coutumes",Victor Hugo,"Ruy Blas, by Victor Hugo                                                 
 [Subtitle: Drame]
 [Language: French]",60354
Victor Hugo                                         ,Le Rhin,1800,"Décadence, Coutumes",Victor Hugo,"Le Rhin, Tome II, by Victor Hugo                                         
 [Language: French]",42151
Victor Hugo                                        ,Napoleon Le Petit,1800,"Décadence, Coutumes",Victor Hugo,"Napoleon Le Petit, by Victor Hugo                                        
 [Language: French]",22048
Victor Hugo                                      ,Notre-Dame de Paris,1800,"Décadence, Coutumes",Victor Hugo,"Notre-Dame de Paris, by Victor Hugo                                      
 [Language: French]",19657
Voltaire                                                     ,Candide,1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Candide, by Voltaire                                                     
 [Subtitle: ou L'optimisme]
 [Language: French]",59859
Voltaire                       ,"Le Monde comme il va, vision de Babouc",1746,"Critique, Décadence, Vie sociale et mœurs, Pouvoir, Justice, Éducation et Conduite de la vie, Fiction historique, Comédie, Satire, Arts et Culture, Coutumes",Voltaire,"Le Monde comme il va, vision de Babouc, by Voltaire                       
 [Author a.k.a. Jean-Marie Arouet]
 [Language: French]",5138
