Titre et Auteur
Du côté de chez Swann by Marcel Proust
Les misérables Tome I: Fantine by Victor Hugo
Notre-Dame de Paris - Tome 1 by Victor Hugo
"Le comte de Monte-Cristo, Tome I by Alexandre Dumas and Auguste Maquet"
Les trois mousquetaires by Alexandre Dumas and Auguste Maquet
Les missionnaires français au Thibet by Prince Henri d' Orléans
Les Fleurs du Mal by Charles Baudelaire
Charmes by Paul Valéry
Trois femmes by Pierre Mille
Le tour du monde en quatre-vingts jours by Jules Verne
"Arsène Lupin, gentleman-cambrioleur by Maurice Leblanc"
Madame Bovary by Gustave Flaubert
Fables de La Fontaine by Jean de La Fontaine
"Proverbes sur les femmes, l'amitié, l'amour et le mariage by P.-M.  Quitard"
Les liaisons dangereuses by Choderlos de Laclos
Contes Français
Voyage au Centre de la Terre by Jules Verne
Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face by Saint de Lisieux Thérèse
Notre-Dame de Paris by Victor Hugo
"Les mille et une nuits, tome premier"
Les mutations du livre by Marie Lebert
Un drame au Labrador by Vinceslas-Eugène Dick
Discours de la méthode by René Descartes
Vingt mille lieues sous les mers by Jules Verne
Les crimes de l'amour by marquis de Sade
La Comédie humaine - Volume 02 by Honoré de Balzac
Le rouge et le noir: chronique du XIXe siècle by Stendhal
Constantinople by Théophile Gautier
Lectures pour une ombre by Jean Giraudoux
"Le comte de Monte-Cristo, Tome II by Alexandre Dumas and Auguste Maquet"
L'île mystérieuse by Jules Verne
Le parler populaire des Canadiens français by N.-E.  Dionne
Entretiens / Interviews / Entrevistas by Marie Lebert
Clerambault : by Romain Rolland
George Sand et ses amis by Albert Le Roy
Le roman de la rose - Tome I by de Lorris Guillaume and de Meun Jean
Le Fantôme de l'Opéra by Gaston Leroux
Lettres de Madame de Sévigné by marquise de Marie de Rabutin-Chantal Sévigné
"Le comte de Monte-Cristo, Tome IV by Alexandre Dumas and Auguste Maquet"
Essais de Montaigne
"Le comte de Monte-Cristo, Tome III by Alexandre Dumas and Auguste Maquet"
Physiologie du goût by Brillat-Savarin
Les misérables Tome IV: L'idylle rue Plumet et l'épopée rue Saint-Denis by Victor Hugo
Les misérables Tome V: Jean Valjean by Victor Hugo
"Les français peints par eux-mêmes, tome 1"
La Pensée de l'Humanité by graf Leo Tolstoy
Œuvres complètes - Volume 1 by Paul Verlaine
La nuit de Noël dans tous les pays by Alphonse Chabot
Du Cameroun au Caire par le désert de Libye : by Bruneau de Laborie
Le Horla by Guy de Maupassant
Douze ans de séjour dans la Haute-Éthiopie by Arnauld d' Abbadie
Histoires magiques by Remy de Gourmont
Le tour du monde en quatre-vingts jours by Jules Verne
Amitié amoureuse by Hermine Oudinot Lecomte du Noüy
La Vallée du Silence by James Oliver Curwood
Le père Huc et ses critiques by Prince Henri d' Orléans
Calligrammes: Poèmes de la paix et de la guerre
Le Grand Meaulnes by Alain-Fournier
"Anciennes loix des François conservées dans les coutumes angloises recueillies par Littleton, Vol."
The Book of the Homeless
L'Oeuvre Poètique de Charles Baudelaire: Les Fleurs du Mal by Charles Baudelaire
Les Chants de Maldoror by comte de Lautréamont
Esprit des lois by baron de Charles de Secondat Montesquieu
En Asie centrale : by Gabriel Bonvalot
A rebours by J.-K.  Huysmans
Aventures d'Alice au pays des merveilles by Lewis Carroll
Les misérables Tome III: Marius by Victor Hugo
Œuvres complètes de François Villon by François Villon
Une saison en enfer by Arthur Rimbaud
Dictionnaire du bon langage by N.-J. Carpentier
Histoires ou Contes du temps passé avec des moralités by Charles Perrault
"Les contemplations: Aujourd'hui, 1843-1856 by Victor Hugo"
Notes sur l'Amour by Claude Anet
Les misérables Tome II: Cosette by Victor Hugo
Jacques by George Sand
Le Cabinet des Fées
"Poésies complètes, by Arthur Rimbaud"
L'homme Qui Rit by Victor Hugo
De l'Amour by Stendhal
Contes de Noël by Madame Henri de La Ville de Mirmont‏
Vie privée et publique des animaux
Le salon de Madame Truphot: moeurs littéraires by Fernand Kolney
L'ingénieux chevalier Don Quichotte de la Manche by Miguel de Cervantes Saavedra
"Les trois mousquetaires, Volume  1"
Noël dans les pays étrangers by Alphonse Chabot
Contes du jour et de la nuit by Guy de Maupassant
Le livre de la Jungle by Rudyard Kipling
L'Ève future by comte de Auguste Villiers de L'Isle-Adam
Comment on Prononce le Français by Philippe Martinon
Dictionnaire d'argot fin-de-siècle by Charles Virmaître
Les trophées by José-Maria de Heredia
Le Mariage de Loti by Pierre Loti
"Œuvres complètes de Gustave Flaubert, tome 1"
"Candide, ou l'optimisme by Voltaire"
"Mémoires du prince de Talleyrand, Volume 1 by Talleyrand-Périgord"
"L'Illustration, No. 3673, 19 Juillet 1913 by Various"
Les fleurs animées - Tome 1 by J. J. Grandville
Réflexions ou sentences et maximes morales by François duc de La Rochefoucauld
Curiosités judiciaires et historiques du moyen âge. Procès contre les animaux by Émile Agnel
